CompanyId,ReadingDate,DailyVolume(m3),ReadingType
4,02/11/2023,168.25,Actual
6,16/03/2024,1015.64,Actual
8,29/06/2023,189.85,Actual
12,25/05/2024,80.99,Actual
1,21/08/2023,80.42,Actual
17,29/01/2024,129.01,Actual
2,09/06/2025,144.41,Estimated
16,09/10/2025,1003.33,Actual
3,27/07/2025,927.61,Estimated
14,27/12/2025,182.18,Actual
15,10/12/2023,167.95,Actual
5,21/08/2023,87,Actual
10,08/09/2025,922.22,Estimated
7,20/09/2025,114.95,Actual
20,18/02/2025,110.85,Actual
11,14/02/2025,863.35,Estimated
9,25/08/2025,114.5,Actual
13,10/01/2024,653.65,Actual
18,05/12/2024,374.52,Actual
19,31/05/2023,564.28,Actual
13,18/08/2024,750.65,Actual
20,20/08/2025,138.3,Actual
16,23/10/2025,907.11,Actual
15,05/10/2025,176.28,Estimated
5,04/10/2024,100.72,Actual
3,11/05/2025,966.72,Actual
4,21/09/2025,186.71,Estimated
14,06/09/2024,187.41,Actual
11,15/06/2024,843.31,Actual
6,06/06/2025,1073.59,Estimated
7,30/07/2023,133.52,Actual
8,19/02/2024,212.14,Actual
1,26/08/2025,110.67,Actual
9,30/08/2025,113.06,Actual
19,14/06/2024,613.11,Actual
12,03/03/2025,119.51,Actual
18,17/10/2025,312.82,Actual
10,09/05/2024,883.65,Actual
17,20/08/2024,151.28,Actual
2,12/02/2025,143.4,Actual
7,23/04/2024,131.78,Estimated
17,25/03/2025,139.28,Actual
1,21/07/2024,88.65,Actual
13,05/12/2024,614.25,Actual
15,18/02/2025,174.1,Actual
8,22/09/2023,207.62,Actual
11,20/10/2023,875.88,Actual
18,07/05/2025,368.78,Actual
6,12/06/2025,960.68,Actual
14,21/04/2024,190.4,Actual
5,05/02/2023,73.67,Actual
3,09/09/2023,970.45,Actual
16,30/10/2025,901.2,Actual
12,08/08/2024,94.59,Actual
9,04/06/2023,101.69,Actual
19,18/11/2023,515.32,Actual
20,30/01/2023,124.96,Actual
10,25/03/2024,872.12,Actual
2,06/01/2023,168.32,Actual
4,09/12/2023,160.33,Estimated
14,27/08/2025,216.14,Actual
12,14/07/2025,81.28,Estimated
8,10/10/2024,187.47,Estimated
7,14/05/2023,110.58,Actual
5,02/03/2025,99.71,Actual
1,16/05/2024,108.6,Actual
2,06/09/2025,177.7,Actual
11,14/09/2023,775.78,Actual
6,15/02/2023,15009.64,Actual
3,13/11/2025,984.68,Actual
20,26/10/2023,115.13,Actual
19,26/03/2024,648.77,Actual
18,28/01/2024,358.52,Estimated
4,30/09/2024,171.59,Actual
17,22/02/2024,146.12,Actual
9,19/06/2024,115.54,Estimated
15,25/05/2025,172.06,Actual
13,03/09/2025,625.6,Actual
10,10/08/2024,873.96,Actual
16,11/09/2023,987.49,Actual
6,01/05/2023,988.06,Actual
3,10/03/2024,972.7,Estimated
18,29/08/2023,393.13,Actual
1,19/10/2025,118.86,Actual
14,06/05/2025,205.65,Actual
17,23/06/2025,126.56,Actual
20,17/04/2025,135.02,Actual
2,30/10/2025,173.79,Actual
13,20/12/2023,782,Actual
10,02/11/2025,941.81,Actual
4,06/02/2024,189.59,Actual
11,06/02/2023,775.95,Estimated
8,02/02/2024,208.16,Actual
12,02/12/2023,82.01,Actual
15,19/07/2024,170.36,Actual
19,16/04/2023,634.82,Actual
16,17/02/2024,1006.5,Actual
9,09/11/2024,90.74,Actual
5,19/06/2025,77.06,Actual
7,13/09/2023,118.2,Actual
17,31/05/2023,126.22,Actual
19,02/10/2025,528.53,Actual
2,01/10/2023,150.19,Actual
16,30/07/2024,932.87,Actual
4,06/12/2025,179.32,Actual
12,18/04/2023,107.56,Actual
7,13/04/2024,101.64,Actual
1,12/03/2024,119.13,Actual
9,18/08/2023,113.68,Actual
8,23/10/2024,214.26,Actual
11,07/07/2025,716.08,Estimated
6,07/12/2023,1051.87,Actual
3,15/06/2025,907.97,Actual
20,16/03/2023,126.04,Actual
10,09/08/2023,895.19,Actual
5,17/05/2025,80.02,Actual
18,14/01/2024,332.55,Actual
13,31/03/2025,655.57,Actual
15,23/06/2023,176.25,Estimated
14,18/04/2023,220.59,Actual
15,22/03/2023,180.98,Actual
12,01/10/2025,91.91,Actual
17,23/11/2024,137.89,Actual
4,16/03/2024,150.78,Actual
20,14/01/2023,114.08,Actual
9,20/10/2023,99.59,Actual
13,22/03/2024,798.7,Actual
14,03/12/2024,196.26,Actual
3,27/08/2024,984.56,Actual
2,30/04/2024,179.18,Actual
6,07/03/2025,959.05,Actual
19,13/06/2024,504.31,Actual
18,09/02/2024,391.78,Actual
11,05/06/2025,780.16,Actual
8,21/01/2023,182.22,Actual
16,20/04/2023,971.06,Actual
7,29/07/2024,121.89,Actual
1,30/03/2023,95.25,Actual
5,21/03/2025,72.08,Estimated
10,06/02/2025,863.66,Actual
6,30/03/2023,977.86,Estimated
13,04/03/2024,621.63,Actual
2,17/09/2023,173.05,Estimated
9,24/02/2023,124.42,Actual
20,29/12/2024,134.86,Actual
8,15/03/2025,193.64,Actual
12,18/01/2025,92.32,Actual
3,16/12/2024,983.31,Estimated
5,08/01/2025,70.71,Actual
10,15/07/2024,888.93,Actual
17,29/10/2025,127.37,Actual
4,27/12/2023,171.21,Estimated
16,17/02/2025,1027.14,Actual
15,19/01/2024,184.25,Estimated
14,20/05/2025,189.26,Actual
11,07/02/2025,735.12,Actual
7,27/11/2023,124.12,Estimated
19,11/07/2023,609.26,Actual
1,30/09/2024,93.54,Actual
18,13/12/2024,335,Actual
19,22/01/2024,648.57,Actual
7,25/08/2024,135.5,Estimated
10,14/07/2024,25656.26,Estimated
13,03/05/2024,697.8,Actual
14,26/10/2023,201.33,Actual
12,28/06/2023,93.79,Actual
3,21/08/2024,956.49,Actual
6,04/01/2024,1081.2,Estimated
4,30/06/2025,168.92,Actual
18,14/04/2023,347.71,Actual
9,03/06/2024,113.04,Actual
15,27/03/2025,164.17,Estimated
11,29/12/2025,878.46,Actual
5,17/07/2024,80.92,Estimated
20,17/01/2025,121.21,Actual
16,06/09/2024,938.76,Actual
1,15/09/2024,82.17,Actual
17,13/04/2025,159.53,Actual
2,26/08/2023,171,Actual
8,08/11/2025,193.42,Actual
5,04/06/2024,107.97,Actual
13,10/05/2023,694.37,Actual
11,21/04/2025,795.06,Actual
10,19/07/2023,884.27,Actual
20,17/06/2025,134.26,Actual
2,01/04/2025,153.76,Actual
8,10/01/2024,202.27,Actual
7,08/11/2023,126.69,Actual
1,16/06/2024,91.48,Actual
4,14/09/2025,173.88,Actual
19,23/10/2024,538.72,Actual
12,23/04/2024,109.9,Actual
17,13/03/2023,133.91,Actual
18,11/12/2024,330.52,Actual
15,25/03/2024,180.49,Actual
14,03/03/2025,186.01,Actual
9,09/04/2023,123.14,Actual
6,23/09/2024,1042.51,Estimated
3,24/11/2024,915.71,Actual
16,15/04/2023,1019.93,Actual
2,17/10/2024,168.63,Actual
18,21/06/2023,358.11,Actual
19,29/10/2025,592.59,Actual
15,06/12/2024,188.41,Actual
9,04/08/2024,104.27,Actual
20,11/11/2025,148.99,Actual
8,26/11/2023,196.77,Actual
6,31/05/2025,969.93,Actual
16,01/10/2025,947.67,Actual
17,22/09/2024,132.38,Actual
4,23/11/2023,181.34,Actual
1,02/09/2025,90.6,Actual
10,14/02/2024,898.45,Actual
14,19/02/2024,192.94,Actual
13,03/12/2025,745.33,Estimated
12,07/04/2023,113.66,Actual
11,07/06/2025,792.5,Actual
7,15/12/2024,101.11,Actual
3,03/08/2024,929.21,Actual
5,29/04/2024,104.03,Actual
3,09/01/2023,921.33,Actual
1,11/08/2023,87.3,Actual
19,24/12/2023,630.02,Actual
2,07/06/2025,164.93,Actual
10,05/08/2025,908.78,Estimated
5,29/12/2025,84.43,Actual
6,29/06/2025,1008.98,Actual
16,02/12/2024,969.49,Actual
8,20/01/2024,210.46,Estimated
20,21/06/2024,126.56,Actual
4,17/01/2025,171.56,Actual
18,29/06/2025,340.07,Actual
13,08/06/2023,787.39,Actual
17,20/03/2024,126.76,Actual
9,07/12/2024,130.15,Actual
11,17/03/2024,842.96,Actual
15,04/01/2025,158.34,Estimated
7,29/03/2024,109.14,Actual
12,04/08/2025,111.38,Actual
14,29/01/2024,188.41,Estimated
4,01/03/2024,152.8,Actual
18,06/04/2025,365.47,Actual
5,02/06/2023,110.28,Estimated
19,29/10/2023,565.4,Estimated
8,11/07/2024,185.56,Actual
9,02/09/2024,119.35,Actual
3,11/10/2023,984.95,Actual
11,05/03/2023,829.52,Actual
2,16/12/2025,153.19,Estimated
16,03/04/2024,922.16,Actual
15,20/09/2024,152.43,Actual
12,04/12/2024,115.54,Estimated
7,10/04/2025,134,Actual
10,12/10/2023,942.27,Actual
1,21/06/2023,84.22,Actual
20,15/11/2025,147.97,Actual
6,02/07/2024,1015.32,Actual
14,20/01/2024,202.62,Estimated
13,19/09/2024,659.2,Actual
17,09/01/2025,152.01,Actual
3,06/09/2025,953.83,Actual
14,03/12/2024,193.68,Actual
15,30/03/2024,160.34,Actual
20,02/12/2023,124.77,Actual
17,21/02/2023,155.45,Actual
10,12/05/2024,930.29,Actual
2,19/05/2024,144.85,Actual
8,03/06/2023,197.36,Estimated
5,18/07/2025,110.06,Actual
6,11/12/2024,996.15,Actual
7,27/09/2024,111.14,Estimated
12,26/01/2023,94.43,Actual
18,09/11/2024,390.59,Actual
13,16/03/2023,756.45,Actual
9,02/11/2023,113.2,Actual
16,10/02/2024,927.84,Actual
1,18/07/2023,120.54,Actual
4,25/07/2024,182.57,Actual
19,21/12/2024,556.52,Actual
11,31/01/2023,746.17,Actual
8,24/07/2023,204,Estimated
6,11/05/2023,1020.87,Actual
17,31/12/2023,147.26,Actual
18,28/01/2023,336.66,Actual
20,09/11/2025,122.28,Actual
7,10/05/2025,106.38,Actual
16,15/06/2024,907.08,Actual
11,28/02/2024,747.37,Actual
9,28/02/2025,120.3,Estimated
2,21/02/2023,180.91,Actual
19,06/05/2025,513.16,Actual
5,25/05/2025,74.41,Actual
3,09/08/2024,942.02,Actual
4,21/07/2024,181.05,Actual
15,07/12/2023,153.76,Actual
12,27/04/2025,107.79,Actual
14,25/07/2025,213.78,Actual
13,30/03/2024,606.68,Actual
1,03/01/2025,99.54,Actual
10,10/11/2023,892.16,Actual
6,14/01/2025,963.37,Actual
1,01/04/2023,93.28,Actual
8,09/05/2025,211.01,Actual
20,12/06/2025,140.15,Actual
11,13/11/2025,879.22,Estimated
19,05/04/2024,627.17,Actual
14,09/04/2025,201.66,Actual
13,08/12/2025,707.25,Actual
4,25/10/2025,174.16,Actual
15,31/07/2024,179.51,Estimated
16,04/02/2025,930.46,Actual
9,19/11/2025,99.75,Estimated
18,08/09/2023,311.23,Actual
2,07/05/2023,179.21,Estimated
10,19/01/2023,857.87,Actual
5,29/09/2025,89.66,Actual
3,14/09/2024,954.81,Actual
7,21/04/2025,127,Actual
12,19/12/2023,88.88,Actual
17,26/09/2023,156.63,Actual
2,12/10/2025,140.27,Actual
5,31/07/2023,88.8,Actual
16,11/01/2024,1009.95,Actual
20,15/06/2024,125.37,Actual
18,25/09/2023,328.36,Estimated
13,11/01/2024,769.94,Actual
14,05/09/2024,207.9,Actual
17,24/08/2025,156.36,Actual
12,08/02/2024,106.21,Actual
11,13/05/2024,815.1,Estimated
6,12/08/2023,1056.99,Actual
7,04/02/2023,117.24,Actual
10,21/12/2024,881.47,Actual
8,24/05/2025,196.01,Actual
15,02/02/2025,177.76,Actual
19,14/05/2023,632.07,Actual
9,06/09/2025,98.26,Actual
4,04/07/2024,164.89,Actual
1,31/01/2023,89.46,Actual
3,17/09/2024,993.35,Actual
4,02/02/2025,155.74,Actual
13,14/12/2023,702.34,Actual
5,28/06/2023,88.28,Actual
12,06/09/2024,87.23,Actual
20,10/02/2023,126.65,Actual
11,12/07/2025,836.37,Actual
7,21/06/2025,104.85,Actual
8,06/01/2023,203.44,Actual
15,17/05/2025,154.88,Estimated
16,04/05/2025,912.99,Actual
18,27/08/2025,388.6,Actual
1,07/06/2023,115.69,Actual
3,31/05/2025,968.41,Actual
14,02/04/2025,193.17,Actual
6,04/02/2024,1055.54,Actual
17,10/10/2025,140.01,Actual
19,27/03/2025,592.79,Estimated
2,09/07/2025,162.71,Actual
10,26/04/2023,893.66,Actual
9,12/01/2023,128.64,Actual
3,06/06/2024,984.51,Actual
5,13/01/2023,91.27,Estimated
7,03/08/2025,128.57,Actual
9,19/02/2024,102.2,Actual
15,24/09/2025,176.01,Actual
19,18/06/2025,592.03,Actual
2,30/07/2024,178.25,Estimated
6,19/07/2023,969.32,Actual
12,17/11/2024,88.56,Actual
17,12/02/2025,131.21,Estimated
